time,v1,v2,h[1],h[2],h[1].fstatus,h[2].fstatus
0.0000E+00,3.0000E+00,3.0000E+00,1.2460E+01,1.2730E+01,1.0000E+00,1.0000E+00
4.5000E+00,3.0000E+00,3.0000E+00,1.2460E+01,1.2730E+01,1.0000E+00,1.0000E+00
1.4500E+01,3.0000E+00,3.0000E+00,1.2450E+01,1.2760E+01,1.0000E+00,1.0000E+00
2.4500E+01,3.2400E+00,2.7600E+00,1.2520E+01,1.2690E+01,1.0000E+00,1.0000E+00
3.4500E+01,3.3000E+00,2.7000E+00,1.2670E+01,1.2540E+01,1.0000E+00,1.0000E+00
4.4500E+01,3.3000E+00,2.7000E+00,1.2790E+01,1.2370E+01,1.0000E+00,1.0000E+00
5.4500E+01,3.3000E+00,2.7000E+00,1.2840E+01,1.2260E+01,1.0000E+00,1.0000E+00
6.4500E+01,3.3000E+00,2.7000E+00,1.2900E+01,1.2190E+01,1.0000E+00,1.0000E+00
7.4500E+01,3.3000E+00,2.7000E+00,1.2930E+01,1.2100E+01,1.0000E+00,1.0000E+00
8.4500E+01,3.3000E+00,3.1800E+00,1.3000E+01,1.2060E+01,1.0000E+00,1.0000E+00
9.4500E+01,3.3000E+00,3.3000E+00,1.3040E+01,1.2390E+01,1.0000E+00,1.0000E+00
1.0450E+02,3.3000E+00,3.3000E+00,1.3160E+01,1.2690E+01,1.0000E+00,1.0000E+00
1.1450E+02,3.3000E+00,3.3000E+00,1.3260E+01,1.2970E+01,1.0000E+00,1.0000E+00
1.2450E+02,3.3000E+00,3.3000E+00,1.3380E+01,1.3190E+01,1.0000E+00,1.0000E+00
1.3450E+02,3.3000E+00,3.3000E+00,1.3550E+01,1.3390E+01,1.0000E+00,1.0000E+00
1.4450E+02,2.8200E+00,2.8200E+00,1.3640E+01,1.3680E+01,1.0000E+00,1.0000E+00
1.5450E+02,2.7000E+00,2.7000E+00,1.3500E+01,1.3550E+01,1.0000E+00,1.0000E+00
1.6450E+02,2.7000E+00,2.7000E+00,1.3230E+01,1.3280E+01,1.0000E+00,1.0000E+00
1.7450E+02,2.7000E+00,2.7000E+00,1.2880E+01,1.3000E+01,1.0000E+00,1.0000E+00
1.8450E+02,2.7000E+00,2.7000E+00,1.2530E+01,1.2740E+01,1.0000E+00,1.0000E+00
1.9450E+02,2.7000E+00,2.7000E+00,1.2210E+01,1.2430E+01,1.0000E+00,1.0000E+00
2.0450E+02,3.1800E+00,3.1800E+00,1.2020E+01,1.2250E+01,1.0000E+00,1.0000E+00
2.1450E+02,3.3000E+00,3.3000E+00,1.2170E+01,1.2410E+01,1.0000E+00,1.0000E+00
2.2450E+02,3.3000E+00,3.3000E+00,1.2430E+01,1.2660E+01,1.0000E+00,1.0000E+00
2.3450E+02,3.3000E+00,3.3000E+00,1.2710E+01,1.2860E+01,1.0000E+00,1.0000E+00
2.4450E+02,3.3000E+00,3.3000E+00,1.2950E+01,1.3130E+01,1.0000E+00,1.0000E+00
2.5450E+02,3.3000E+00,3.3000E+00,1.3180E+01,1.3250E+01,1.0000E+00,1.0000E+00
2.6450E+02,3.3000E+00,2.8200E+00,1.3340E+01,1.3350E+01,1.0000E+00,1.0000E+00
2.7450E+02,3.3000E+00,2.7000E+00,1.3480E+01,1.3330E+01,1.0000E+00,1.0000E+00
2.8450E+02,3.3000E+00,2.7000E+00,1.3560E+01,1.3180E+01,1.0000E+00,1.0000E+00
2.9450E+02,3.3000E+00,2.7000E+00,1.3560E+01,1.3010E+01,1.0000E+00,1.0000E+00
3.0450E+02,3.3000E+00,2.7000E+00,1.3580E+01,1.2870E+01,1.0000E+00,1.0000E+00
3.1450E+02,3.3000E+00,2.7000E+00,1.3620E+01,1.2750E+01,1.0000E+00,1.0000E+00
3.2450E+02,2.8200E+00,3.1800E+00,1.3510E+01,1.2670E+01,1.0000E+00,1.0000E+00
3.3450E+02,2.7000E+00,3.3000E+00,1.3200E+01,1.2850E+01,1.0000E+00,1.0000E+00
3.4450E+02,2.7000E+00,3.3000E+00,1.2940E+01,1.3060E+01,1.0000E+00,1.0000E+00
3.5450E+02,2.7000E+00,3.3000E+00,1.2680E+01,1.3170E+01,1.0000E+00,1.0000E+00
3.6450E+02,2.7000E+00,3.3000E+00,1.2520E+01,1.3240E+01,1.0000E+00,1.0000E+00
3.7450E+02,2.7000E+00,3.3000E+00,1.2390E+01,1.3270E+01,1.0000E+00,1.0000E+00
3.8450E+02,3.1800E+00,3.3000E+00,1.2370E+01,1.3370E+01,1.0000E+00,1.0000E+00
3.9450E+02,3.3000E+00,3.3000E+00,1.2700E+01,1.3430E+01,1.0000E+00,1.0000E+00
4.0450E+02,3.3000E+00,3.3000E+00,1.2990E+01,1.3660E+01,1.0000E+00,1.0000E+00
4.1450E+02,3.3000E+00,3.3000E+00,1.3240E+01,1.3800E+01,1.0000E+00,1.0000E+00
4.2450E+02,3.3000E+00,3.3000E+00,1.3470E+01,1.3900E+01,1.0000E+00,1.0000E+00
4.3450E+02,3.3000E+00,3.3000E+00,1.3610E+01,1.4020E+01,1.0000E+00,1.0000E+00
4.4450E+02,3.3000E+00,3.3000E+00,1.3810E+01,1.4120E+01,1.0000E+00,1.0000E+00
4.5450E+02,3.3000E+00,3.3000E+00,1.3950E+01,1.4230E+01,1.0000E+00,1.0000E+00
4.6450E+02,3.3000E+00,3.3000E+00,1.4080E+01,1.4330E+01,1.0000E+00,1.0000E+00
4.7450E+02,3.3000E+00,3.3000E+00,1.4170E+01,1.4440E+01,1.0000E+00,1.0000E+00
4.8450E+02,3.3000E+00,3.3000E+00,1.4300E+01,1.4550E+01,1.0000E+00,1.0000E+00
4.9450E+02,3.3000E+00,3.3000E+00,1.4450E+01,1.4650E+01,1.0000E+00,1.0000E+00
5.0450E+02,2.8200E+00,2.8200E+00,1.4540E+01,1.4730E+01,1.0000E+00,1.0000E+00
5.1450E+02,2.7000E+00,2.7000E+00,1.4490E+01,1.4660E+01,1.0000E+00,1.0000E+00
5.2450E+02,2.7000E+00,2.7000E+00,1.4350E+01,1.4270E+01,1.0000E+00,1.0000E+00
5.3450E+02,2.7000E+00,2.7000E+00,1.3910E+01,1.3840E+01,1.0000E+00,1.0000E+00
5.4450E+02,2.7000E+00,2.7000E+00,1.3420E+01,1.3470E+01,1.0000E+00,1.0000E+00
5.5450E+02,2.7000E+00,2.7000E+00,1.3040E+01,1.3130E+01,1.0000E+00,1.0000E+00
