time, 0.00          ,   2.500000E-01,   2.600000E-01,   5.000000E-01,   7.500000E-01,   1.000000E+00,   1.250000E+00,   1.500000E+00,   1.750000E+00,   2.000000E+00,   2.250000E+00,   2.500000E+00,   2.750000E+00,   3.000000E+00,   3.250000E+00,   3.500000E+00,   3.750000E+00,   4.000000E+00,   4.250000E+00,   4.500000E+00,   4.750000E+00,   5.000000E+00
tc,   2.700000E+02,   2.700000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02,   2.200000E+02
q,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02
v,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02
rho,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03
cp,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01
mdelh,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04
eoverr,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03
k0,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10
ua,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04
