time,k116,k1,kd1,k1c,kd1c,kd1d,kd6,kd122,k122,k119
0,0.015,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
90,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
180,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
270,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
360,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
450,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
540,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
630,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
720,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
810,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
900,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
990,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1080,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1170,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1260,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1350,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1440,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1530,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1620,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1710,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1798,0,0,0.0033,800,1,0.1,0.00E+00,1,1.00E-04,0
1800,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
1890,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
1980,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2070,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2160,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2250,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2340,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2430,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2520,0,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
2600,0.0150356,10000000,0.0033,0,0,0,5.00E-05,1,1.87E-08,10000000
