time,tau
0,0.9
0.06,0.9
0.12,0.9
0.18,0.9
0.24,0.9
0.3,0.9
0.36,0.9
0.42,0.9
0.48,0.9
0.54,0.9
0.6,0.9
0.66,0.9
0.72,0.9
0.78,0.9
0.84,0.9
0.9,0.9
0.96,0.9
1.02,0.9
1.08,0.9
1.14,0.9
1.2,0.9
1.26,0.9
1.32,0.9
1.38,0.9
1.44,0.9
1.5,0.9
1.56,0.9
1.62,0.9
1.68,0.9
1.74,0.9
1.8,0.9
1.86,0.9
1.92,0.9
1.98,0.9
2.04,0.9
2.1,0.9
2.16,0.9
2.22,0.9
2.28,0.9
2.34,0.9
2.4,0.9
2.46,0.9
2.52,0.9
2.58,0.9
2.64,0.9
2.7,0.9
2.76,0.9
2.82,0.9
2.88,0.9
2.94,0.9
3,0.9
3.06,0.9
3.12,0.9
3.18,0.9
3.24,0.9
3.3,0.9
3.36,0.9
3.42,0.9
3.48,0.9
3.54,0.9
3.6,0.9
3.66,0.9
3.72,0.9
3.78,0.9
3.84,0.9
3.9,0.9
3.96,0.9
4.02,0.9
4.08,0.9
4.14,0.9
4.2,0.9
4.26,0.9
4.32,0.9
4.38,0.9
4.44,0.9
4.5,0.9
4.56,0.9
4.62,0.9
4.68,0.9
4.74,0.9
4.8,0.9
4.86,0.9
4.92,0.9
4.98,0.9
5.04,0.9
5.1,0.9
5.16,0.9
5.22,0.9
5.28,0.9
5.34,0.9
5.4,0.9
5.46,0.9
5.52,0.9
5.58,0.9
5.64,0.9
5.7,0.9
5.76,0.9
5.82,0.9
5.88,0.9
5.94,0.9
6,0.9
